Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Hungary,Eastern Europe,2012,12918.24752,9920362.0,6912310.0,6826447.0,1645029.0,1.91,1.61,1.84,1.67,86152284643.0,89883270321.0,15825697571.0,20750129604.0,253558714.8,99.69793,88801.83165,10353000.0,117.386504,24.289822,3923.042324,1701009788.0,90530.0
Italy,Western Europe,2012,35053.52624,59539717.0,40894259.0,38712836.0,12480810.0,2.18,1.69,2.28,1.87,463498000000.0,484929000000.0,108625000000.0,108351000000.0,2467314245.0,101.2919,306320.5033,46360000.0,162.3070852,22.98510954,5397.741477,5585999530.0,294140.0
Latvia,Northern Europe,2012,13847.78511,2034319.0,1381242.0,1360771.0,381722.0,1.77,1.49,1.8,1.48,15771442681.0,12383023626.0,2752401790.0,4836953706.0,769043063.7,101.0487,46732.0,1435000.0,127.1557591,23.01292015,3587.932866,43691574.0,62180.0
Lithuania,Northern Europe,2012,14333.94934,2987773.0,1997745.0,2019161.0,533199.0,1.7,1.42,1.83,1.59,28927922748.0,27484416393.0,4371774797.0,6068179631.0,1322464246.0,101.8544,11874.0,1900000.0,164.0835629,25.24529963,3607.703798,38179826.62,62673.99902
Luxembourg,Western Europe,2012,106749.0136,530946.0,473864.0,365858.0,74012.0,1.64,1.36,1.64,1.55,27063693616.0,25155306027.0,58298684818.0,78000850439.0,29405196.13,97.17509,43021.0,950000.0,143.412256,31.9671776,14703.94353,2600911115.0,2430.0
Malta,Western Europe,2012,21926.80837,420028.0,395713.0,288022.0,70740.0,1.75,1.66,1.92,1.63,5527484270.0,4118625537.0,9256189348.0,11110531532.0,166480734.0,100.7826,13845.0,1443000.0,126.1774879,32.18470919,5002.047483,446337429.2,320.0
Mexico,North America,2012,10241.72792,117274155.0,91948801.0,76177533.0,7439162.0,0.85,0.72,0.86,0.81,371151000000.0,371442000000.0,31298000207.0,16392769673.0,22438322098.0,110.4135,415279.823,23403000.0,85.89038906,11.15102982,2253.514425,253435486.0,1943950.0
Moldova,Eastern Europe,2012,2446.725316,3559519.0,1514860.0,2628954.0,358821.0,1.4,1.08,1.42,1.21,4755380000.0,1687510000.0,912270000.0,1020180000.0,976490000.0,93.79797,6560.0,89000.0,87.94042801,10.26836887,1514.530474,18700000.0,32860.0
Montenegro,Eastern Europe,2012,6586.721279,620601.0,402174.0,421283.0,81607.0,1.75,1.49,1.82,1.62,2273013418.0,497633725.0,433340852.7,1202965674.0,267417247.5,97.3309,7485.0,1264000.0,158.304749,14.02212725,5415.717989,3078425.553,13450.0
Netherlands,Western Europe,2012,50073.00566,16754962.0,14842886.0,11126955.0,2746810.0,1.95,1.71,2.33,2.13,455257000000.0,546694000000.0,144255000000.0,132552000000.0,256959120.5,105.8301,307221.0,11680000.0,117.4201279,39.62638996,6876.589753,36136892529.0,33720.0
